LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-08,98.70304,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-09,98.41779,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-10,98.25707,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-11,98.22624,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2011-12,98.25053,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-01,98.3256,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-02,98.4334,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-03,98.507,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-04,98.48236,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-05,98.44421,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-06,98.37138,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-07,98.21487,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-08,98.01051,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-09,97.81612,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-10,97.7163,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-11,97.67774,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2012-12,97.72876,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-01,97.85828,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-02,97.96479,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-03,98.046,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-04,98.13224,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-05,98.22522,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-06,98.35142,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-07,98.50903,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-08,98.70132,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-09,98.89873,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-10,99.02616,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-11,99.12462,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2013-12,99.26371,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.42321,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-02,99.57343,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-03,99.73519,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-04,99.86943,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-05,99.97485,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-06,99.99356,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-07,99.9251,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-08,99.80773,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-09,99.72704,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-10,99.71387,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-11,99.74522,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2014-12,99.8771,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-01,100.0935,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-02,100.334,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.497,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.5385,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.4881,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.4079,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.3631,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-08,100.4221,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-09,100.5222,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-10,100.6297,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-11,100.72,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2015-12,100.7493,
